CODIGO_OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE
SBVT;ES0001;EURICO DE AGUIAR SALLES;VITÓRIA;ES;20° 15' 29'' S;40° 17' 11'' W;3 m
SBZM;MG0006;PRESIDENTE ITAMAR FRANCO;GOIANÁ;MG;21° 30' 47'' S;43° 10' 23'' W;412 m
SDAA;SP0045;ARARAS;ARARAS;SP;22° 20' 13'' S;47° 21' 30'' W;685 m
SDAD;SP0046;EVERALDO MORAES BARRETO;ADAMANTINA;SP;21° 41' 46'' S;51° 5' 47'' W;425 m
SDAE;SP0053;SÃO PEDRO;SÃO PEDRO;SP;22° 35' 1'' S;47° 53' 46'' W;566 m
SDAG;RJ0010;ANGRA DOS REIS;ANGRA DOS REIS;RJ;22° 58' 31'' S;44° 18' 26'' W;3 m
SDAI;SP0047;AMERICANA;AMERICANA;SP;22° 45' 19'' S;47° 16' 5'' W;611 m
SDAM;SP0037;ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL;CAMPINAS;SP;22° 51' 33'' S;47° 6' 29'' W;612 m
SDBA;SP0063;BATATAIS;BATATAIS;SP;20° 52' 37'' S;47° 35' 9'' W;881 m
SDBB;SP0018;BEBEDOURO;BEBEDOURO;SP;20° 54' 1'' S;48° 28' 25'' W;592 m
SDBK;SP0019;TANCREDO DE ALMEIDA NEVES;BOTUCATU;SP;22° 56' 12'' S;48° 28' 3'' W;918 m
SDBY;SP0032;BARIRI;BARIRI;SP;22° 4' 9'' S;48° 42' 23'' W;493 m
SDCA;SP0051;CAPÃO BONITO;CAPÃO BONITO;SP;24° 2' 1'' S;48° 21' 25'' W;714 m
SDCG;AM0016;SENADORA EUNICE MICHILES;SÃO PAULO DE OLIVENÇA;AM;3° 28' 9'' S;68° 55' 16'' W;102 m
SDCO;SP0027;SOROCABA;SOROCABA;SP;23° 28' 40'' S;47° 29' 24'' W;633 m
SDDN;SP0020;PAULINO RIBEIRO DE ANDRADE;ANDRADINA;SP;20° 55' 30'' S;51° 22' 55'' W;380 m
SDDR;SP0021;DRACENA;DRACENA;SP;21° 27' 38'' S;51° 36' 25'' W;372 m
SDEP;SP0052;GERALDO MOACIR BORDON;PRESIDENTE EPITÁCIO;SP;21° 46' 30'' S;52° 8' 37'' W;297 m
SDET;SP0067;TIETÊ;TIETÊ;SP;23° 6' 17'' S;47° 43' 28'' W;501 m
SDFD;SP0054;CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES;FERNANDÓPOLIS;SP;20° 16' 36'' S;50° 12' 50'' W;499 m
SDFX;BA0054;CASA NOVA;CASA NOVA;BA;9° 9' 27'' S;40° 56' 15'' W;405 m
SDGC;SP0055;GARÇA;GARÇA;SP;22° 11' 1'' S;49° 39' 22'' W;664 m
SDIG;SP0038;IBITINGA;IBITINGA;SP;21° 44' 50'' S;48° 51' 21'' W;542 m
SDIM;SP0033;DR. ANTONIO RIBEIRO NOGUEIRA JÚNIOR;ITANHAÉM;SP;24° 9' 53'' S;46° 47' 8'' W;3 m
SDIV;SP0056;ITUVERAVA;ITUVERAVA;SP;20° 22' 31'' S;47° 46' 7'' W;623 m
SDJC;SP0064;JABOTICABAL;JABOTICABAL;SP;21° 13' 51'' S;48° 17' 8'' W;615 m
SDJO;SP0057;SÃO JOAQUIM DA BARRA;SÃO JOAQUIM DA BARRA;SP;20° 35' 36'' S;47° 50' 32'' W;650 m
SDJV;SP0035;MUNICIPAL DE SÃO JOÃO DA BOA VISTA;SÃO JOÃO DA BOA VISTA;SP;22° 1' 0'' S;46° 50' 26'' W;762 m
SDKJ;BA0025;FORMOSA DO RIO PRETO;FORMOSA DO RIO PRETO;BA;11° 1' 16'' S;45° 11' 14'' W;528 m
SDKK;SP0058;MOCOCA;MOCOCA;SP;21° 29' 14'' S;47° 2' 2'' W;651 m
SDLL;SP0048;YOLANDA PENTEADO;LEME;SP;22° 13' 33'' S;47° 22' 51'' W;627 m
SDLP;SP0034;MUNICIPAL JOSÉ BOSO;LENÇÓIS PAULISTA;SP;22° 34' 42'' S;48° 46' 28'' W;621 m
SDLY;SP0071;ARMANDO NATALI;MATÃO;SP;21° 37' 27'' S;48° 21' 3'' W;635 m
SBMI;RJ0009;MARICÁ;MARICÁ;RJ;22° 55' 5'' S;42° 49' 44'' W;0 m
SDMH;SP0059;MIRASSOL;MIRASSOL;SP;20° 48' 26'' S;49° 29' 10'' W;584 m
SDMJ;SP0022;MOGI MIRIM;MOGI MIRIM;SP;22° 24' 39'' S;46° 54' 20'' W;695 m
SDMO;SP0068;MONTE ALTO;MONTE ALTO;SP;21° 15' 29'' S;48° 31' 27'' W;750 m
SDNH;SP0060;NOVO HORIZONTE;NOVO HORIZONTE;SP;21° 29' 52'' S;49° 14' 4'' W;465 m
SDNM;MT0047;BRIGADEIRO EDUARDO GOMES;NOVA MUTUM;MT;13° 49' 16'' S;56° 2' 19'' W;430 m
SDNO;SP0061;NELSON GARÓFALO;SÃO MANUEL;SP;22° 41' 46'' S;48° 34' 34'' W;734 m
SDOU;SP0023;JORNALISTA BENEDITO PIMENTEL;OURINHOS;SP;22° 58' 25'' S;49° 54' 41'' W;462 m
SDOV;GO0005;MOZARLÂNDIA;MOZARLÂNDIA;GO;14° 46' 8'' S;50° 33' 54'' W;328 m
SDOW;PA0021;OURILÂNDIA DO NORTE;OURILÂNDIA DO NORTE;PA;6° 45' 44'' S;51° 3' 0'' W;229 m
SDPD;SP0072;PINDAMONHANGABA;PINDAMONHANGABA;SP;22° 56' 38'' S;45° 25' 55'' W;574 m
SDPN;SP0024;PENÁPOLIS;PENÁPOLIS;SP;21° 24' 37'' S;50° 1' 55'' W;418 m
SDPV;SP0040;PRESIDENTE VENCESLAU;PRESIDENTE VENCESLAU;SP;21° 53' 36'' S;51° 53' 4'' W;445 m
SDPW;SP0041;PEDRO MORGANTI;PIRACICABA;SP;22° 42' 43'' S;47° 37' 5'' W;584 m
SDPY;SP0066;PIRASSUNUNGA;PIRASSUNUNGA;SP;22° 1' 40'' S;47° 25' 18'' W;683 m
SDRK;SP0049;RIO CLARO;RIO CLARO;SP;22° 25' 54'' S;47° 33' 45'' W;600 m
SDRR;SP0028;AVARÉ-ARANDU;AVARÉ;SP;23° 5' 32'' S;48° 59' 14'' W;798 m
SDRS;RJ0007;RESENDE;RESENDE;RJ;22° 28' 43'' S;44° 28' 54'' W;402 m
SDSC;SP0029;MÁRIO PEREIRA LOPES;SÃO CARLOS;SP;21° 52' 35'' S;47° 54' 12'' W;807 m
SBSO;MT0005;REGIONAL DE SORRISO ADOLINO BEDIN;SORRISO;MT;12° 28' 22'' S;55° 40' 8'' W;386 m
SDTB;SP0069;ATIBAIA;ATIBAIA;SP;23° 7' 42'' S;46° 34' 29'' W;797 m
SDTF;SP0050;TATUÍ;TATUÍ;SP;23° 19' 55'' S;47° 52' 48'' W;635 m
SDTI;SP0073;TUPI PAULISTA;TUPI PAULISTA;SP;21° 23' 36'' S;51° 36' 3'' W;365 m
SDTK;RJ0011;PARATY;PARATY;RJ;23° 13' 26'' S;44° 43' 24'' W;3 m
SDTP;SP0025;JOSÉ VICENTE FARIA LIMA;TUPÃ;SP;21° 53' 24'' S;50° 30' 21'' W;550 m
SDUB;SP0065;ESTADUAL GASTÃO MADEIRA;UBATUBA;SP;23° 26' 29'' S;45° 4' 34'' W;3 m
SDUN;RJ0008;ITAPERUNA;ITAPERUNA;RJ;21° 13' 9'' S;41° 52' 33'' W;110 m
SDUQ;SP0042;PARAGUAÇU PAULISTA;PARAGUAÇU PAULISTA;SP;22° 25' 37'' S;50° 36' 25'' W;486 m
SDVE;SP0070;VERA CRUZ;VERA CRUZ;SP;22° 13' 49'' S;49° 49' 1'' W;640 m
SDVG;SP0026;DOMINGOS PIGNATARI;VOTUPORANGA;SP;20° 27' 26'' S;50° 0' 9'' W;508 m
SDWQ;PA0027;ALENQUER;ALENQUER;PA;1° 55' 1'' S;54° 43' 22'' W;31 m
SDXF;GO0020;ALTO PARAÍSO DE GOIÁS;ALTO PARAÍSO DE GOIÁS;GO;14° 7' 9'' S;47° 31' 49'' W;1345 m
SDXJ;MS0017;COSTA RICA;COSTA RICA;MS;18° 29' 29'' S;53° 10' 6'' W;738 m
SDZG;CE0008;PEDRO TEIXEIRA CASTELO REGIONAL TAUÁ;TAUÁ;CE;5° 56' 0'' S;40° 17' 51'' W;444 m
SIBU;PB0012;JERÔNIMO SÉRGIO ROSADO MAIA;CATOLÉ DO ROCHA;PB;6° 21' 45'' S;37° 45' 19'' W;272 m
SIBW;PB0008;CONCEIÇÃO;CONCEIÇÃO;PB;7° 33' 45'' S;38° 29' 51'' W;370 m
SIBY;PB0009;LOURIVAL NUNES DE FARIAS;MONTEIRO;PB;7° 52' 42'' S;37° 8' 12'' W;622 m
SIBZ;PB0010;ITAPORANGA;ITAPORANGA;PB;7° 18' 40'' S;38° 6' 49'' W;292 m
SICB;PB0007;PEDRO SIMÕES PIMENTA;CUITÉ;PB;6° 29' 15'' S;36° 8' 24'' W;652 m
SILC;MT0025;AEROPORTO MUNICIPAL BOM FUTURO ;LUCAS DO RIO VERDE;MT;13° 2' 16'' S;55° 57' 1'' W;414 m
SIMK;SP0011;TENENTE LUND PRESSOTO;FRANCA;SP;20° 35' 25'' S;47° 22' 57'' W;1003 m
SIZX;MT0018;JUARA SUL;JUARA;MT;11° 17' 48'' S;57° 32' 56'' W;302 m
SJAU;TO0007;ARAGUACEMA;ARAGUACEMA;TO;8° 50' 16'' S;49° 33' 28'' W;207 m
SJBY;MA0007;JOÃO SILVA;SANTA INÊS;MA;3° 39' 16'' S;45° 20' 43'' W;21 m
SJGU;TO0005;ARAGUATINS;ARAGUATINS;TO;5° 41' 4'' S;48° 6' 56'' W;125 m
SBJA;SC0005;REGIONAL SUL;JAGUARUNA;SC;28° 40' 31'' S;49° 3' 37'' W;35 m
SJOG;RO0008;ARIQUEMES;ARIQUEMES;RO;9° 52' 50'' S;63° 2' 50'' W;142 m
SJQN;GO0006;QUIRINÓPOLIS;QUIRINÓPOLIS;GO;18° 26' 46'' S;50° 24' 33'' W;586 m
SJRG;RS0013;REGIONAL DE RIO GRANDE;RIO GRANDE;RS;32° 5' 0'' S;52° 10' 3'' W;8 m
SJTS;PA0028;TERRA SANTA;TERRA SANTA;PA;2° 4' 22'' S;56° 29' 20'' W;25 m
SJVO;GO0030;ARAGARÇAS;ARAGARÇAS;GO;15° 53' 57'' S;52° 14' 43'' W;323 m
SJZA;PB0004;PEDRO VIEIRA MOREIRA;CAJAZEIRAS;PB;6° 52' 58'' S;38° 36' 57'' W;335 m
SNAB;PE0009;ARARIPINA;ARARIPINA;PE;7° 35' 11'' S;40° 32' 7'' W;669 m
SNAE;PE0007;ARCOVERDE;ARCOVERDE;PE;8° 24' 28'' S;37° 5' 18'' W;634 m
SNAG;MG0020;ARAGUARI;ARAGUARI;MG;18° 40' 5'' S;48° 11' 25'' W;947 m
SNAL;AL0003;ARAPIRACA;ARAPIRACA;AL;9° 46' 35'' S;36° 37' 50'' W;270 m
SNAP;MG0021;JANAÚBA;JANAÚBA;MG;15° 43' 55'' S;43° 19' 23'' W;532 m
SNAR;MG0033;CIRILO QUEIRÓZ;ALMENARA;MG;16° 11' 2'' S;40° 40' 2'' W;195 m
SNAS;MG0022;TRÊS MARIAS;TRÊS MARIAS;MG;18° 13' 30'' S;45° 11' 26'' W;786 m
SBAC;CE0004;AEROPORTO REGIONAL DE CANOA QUEBRADA DRAGÃO DO MAR;ARACATI;CE;4° 34' 7'' S;37° 48' 17'' W;36 m
SNAX;SP0016;MARCELO PIRES HALZHAUSEN;ASSIS;SP;22° 38' 24'' S;50° 27' 11'' W;564 m
SNBA;SP0013;CHAFEI AMSEI (SBBT*);BARRETOS;SP;20° 35' 8'' S;48° 35' 45'' W;580 m
SNBC;MA0006;BARRA DO CORDA;BARRA DO CORDA;MA;5° 30' 9'' S;45° 12' 58'' W;155 m
SNBG;ES0005;BAIXO GUANDU - AIMORÉS;BAIXO GUANDU;ES;19° 29' 56'' S;41° 2' 31'' W;80 m
SNBI;MA0005;BACABAL;BACABAL;MA;4° 13' 41'' S;44° 49' 11'' W;20 m
SNBM;MG0051;CRISTIANO FERREIRA VARELLA;MURIAÉ;MG;21° 7' 34'' S;42° 23' 40'' W;270 m
SNBR;BA0011;DOM RICARDO WEBERBERGER;BARREIRAS;BA;12° 4' 45'' S;45° 0' 34'' W;747 m
SNBS;MA0010;BALSAS;BALSAS;MA;7° 31' 31'' S;46° 3' 12'' W;284 m
SNBX;BA0028;BARRA;BARRA;BA;11° 4' 52'' S;43° 8' 51'' W;389 m
SNBZ;BA0042;PARAMIRIM;PARAMIRIM;BA;13° 29' 26'' S;42° 13' 45'' W;639 m
SNCA;MG0031;CAMPO BELO;CAMPO BELO;MG;20° 53' 33'' S;45° 20' 8'' W;970 m
SNCS;CE0009;CAMPOS SALES;CAMPOS SALES;CE;7° 3' 6'' S;40° 21' 30'' W;615 m
SNCT;MG0056;CARATINGA;UBAPORANGA;MG;19° 43' 31'' S;42° 6' 40'' W;599 m
SNCX;ES0004;COLATINA;COLATINA;ES;19° 29' 15'' S;40° 34' 46'' W;153 m
SNCZ;MG0059;PONTE NOVA;PONTE NOVA;MG;20° 24' 11'' S;42° 55' 0'' W;572 m
SNDC;PA0030;REDENÇÃO;REDENÇÃO;PA;8° 1' 52'' S;49° 58' 47'' W;207 m
SNDT;MG0030;JUSCELINO KUBITSCHEK;DIAMANTINA;MG;18° 13' 56'' S;43° 39' 1'' W;1356 m
SNDV;MG0015;BRIGADEIRO ANTÔNIO CABRAL;DIVINÓPOLIS;MG;20° 10' 55'' S;44° 52' 12'' W;795 m
SNEB;PA0018;NAGIB DEMACHKI;PARAGOMINAS;PA;3° 1' 11'' S;47° 18' 59'' W;135 m
SNED;BA0023;SÓCRATES REZENDE;CANAVIEIRAS;BA;15° 39' 59'' S;38° 57' 19'' W;6 m
SNEE;RS0004;VACARIA NOVO;VACARIA;RS;28° 25' 55'' S;51° 1' 22'' W;914 m
SNFE;MG0012;COMANDANTE PASCHOAL PATROCÍNIO FILHO;ALFENAS;MG;21° 25' 54'' S;45° 55' 59'' W;875 m
SNFO;MG0060;FORMIGA;FORMIGA;MG;20° 23' 43'' S;45° 29' 12'' W;1017 m
SNFU;MG0063;FRUTAL;FRUTAL;MG;20° 0' 17'' S;48° 57' 32'' W;549 m
SNFX;PA0013;SÃO FÉLIX DO XINGU;SÃO FÉLIX DO XINGU;PA;6° 38' 29'' S;51° 57' 8'' W;183 m
SNGA;ES0007;GUARAPARI;GUARAPARI;ES;20° 38' 47'' S;40° 29' 30'' W;9 m
SNGB;PI0011;GILBUÉS;GILBUÉS;PI;9° 50' 1'' S;45° 22' 2'' W;450 m
SNGD;PI0005;GUADALUPE;GUADALUPE;PI;6° 46' 59'' S;43° 34' 51'' W;172 m
SNGG;PI0007;BOM JESUS DO GURGUÉIA;BOM JESUS;PI;9° 3' 34'' S;44° 22' 9'' W;338 m
SNGI;BA0009;GUANAMBI;GUANAMBI;BA;14° 12' 29'' S;42° 44' 46'' W;553 m
SNGN;PE0006;GARANHUNS;GARANHUNS;PE;8° 50' 4'' S;36° 28' 17'' W;759 m
SNGX;MG0023;GUAXUPÉ;GUAXUPÉ;MG;21° 19' 36'' S;46° 43' 49'' W;849 m
SNHS;PE0005;SANTA MAGALHÃES;SERRA TALHADA;PE;8° 3' 41'' S;38° 19' 43'' W;470 m
SNIB;BA0045;ITABERABA;ITABERABA;BA;12° 29' 59'' S;40° 16' 13'' W;283 m
SNIC;BA0019;IRECÊ;IRECÊ;BA;11° 20' 24'' S;41° 50' 49'' W;784 m
SNIE;BA0020;CAETITÉ;CAETITÉ;BA;14° 0' 44'' S;42° 29' 38'' W;976 m
SNIG;CE0007;IGUATU;IGUATU;CE;6° 20' 48'' S;39° 17' 40'' W;213 m
SNIO;BA0010;CIPÓ;CIPÓ;BA;11° 7' 31'' S;38° 29' 13'' W;223 m
SNIP;BA0057;ITAPETINGA;ITAPETINGA;BA;15° 14' 40'' S;40° 16' 38'' W;270 m
