CODIGO_OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE
SNIT;BA0046;IBOTIRAMA;IBOTIRAMA;BA;12° 10' 6'' S;43° 13' 21'' W;422 m
SNIU;BA0030;IPIAÚ;IPIAÚ;BA;14° 10' 24'' S;39° 41' 3'' W;132 m
SNJB;BA0062;JACOBINA;JACOBINA;BA;11° 9' 47'' S;40° 33' 12'' W;489 m
SDIY;BA0013;JOÃO DURVAL CARNEIRO (SBFE*);FEIRA DE SANTANA;BA;12° 12' 2'' S;38° 54' 23'' W;238 m
SNJK;BA0047;JEQUIÉ;JEQUIÉ;BA;13° 52' 40'' S;40° 4' 17'' W;197 m
SNJM;MG0050;ELIAS BREDER;MANHUAÇU;MG;20° 15' 35'' S;42° 11' 2'' W;829 m
SNJO;PB0002;AEROCLUBE DE JOÃO PESSOA;JOÃO PESSOA;PB;7° 5' 30'' S;34° 50' 31'' W;6 m
SNJP;MG0036;JOÃO PINHEIRO;JOÃO PINHEIRO;MG;17° 47' 15'' S;46° 7' 13'' W;911 m
SNJQ;MG0053;JEQUITINHONHA;JEQUITINHONHA;MG;16° 26' 29'' S;41° 2' 14'' W;234 m
SNJR;MG0034;PREFEITO OCTÁVIO DE ALMEIDA NEVES;SÃO JOÃO DEL REI;MG;21° 5' 8'' S;44° 13' 31'' W;945 m
SNKD;MG0070;CONCEIÇÃO DO MATO DENTRO;CONCEIÇÃO DO MATO DENTRO;MG;19° 1' 13'' S;43° 26' 2'' W;669 m
SNKF;MG0071;DAS BANDEIRINHAS;CONSELHEIRO LAFAIETE;MG;20° 44' 19'' S;43° 47' 53'' W;1057 m
SNKI;ES0006;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;ES;20° 50' 7'' S;41° 11' 11'' W;78 m
SNKK;RN0005;CAICÓ;CAICÓ;RN;6° 26' 21'' S;37° 4' 41'' W;182 m
